Date,Crop sales,Fertilizer and chemicals,Gross cash farm income,Machine-hire and custom work,Net cash farm income,Net farm income,Rent and lease payments,Seed and plants,Total cash expenses,Value of inventory change,Variable expenses
2003,83368.125,20295.5625,263677.75,3310.8125,49833.4375,31103.225806451614,18696.28125,12340.9375,213844.40625,-2773.96875,173266.375
2004,122960.34375,23245.1875,305475.65625,3486.03125,73234.625,53526.625,21611.5625,20678.0625,232241.1875,-5250.59375,188848.5
2005,116244.3125,28732.71875,287536.375,4215.0,85053.0625,84083.28125,31922.65625,17837.21875,202483.28125,16451.354838709678,146133.65625
2006,131942.375,27569.21875,300054.59375,4467.125,84251.96875,89903.84375,28284.8125,17875.90625,215802.75,19414.625,160395.65625
2007,148583.46875,30793.125,322839.875,3782.90625,91220.6129032258,107599.1875,24980.71875,18635.59375,234470.0625,35503.4375,183331.3125
2008,175507.1875,40954.96875,427701.5,8490.5625,103404.28125,102642.0,31788.25,22111.0,324297.3125,22883.9375,265536.75
2009,176049.125,38608.9375,342202.5,4183.5625,68367.28125,60363.96875,32515.53125,27470.09375,273835.125,9066.65625,215414.9375
2010,181825.90625,38578.34375,343092.65625,3589.96875,89082.34375,107507.0,35837.28125,26709.28125,254010.40625,36378.354838709674,194193.9375
2011,272190.48484848486,64721.181818181816,631278.4545454546,9352.60606060606,149499.51515151514,159245.9393939394,67767.75757575757,42554.69696969697,481779.0303030303,42669.90909090909,377288.2121212121
2012,324830.1515151515,66792.45454545454,732474.0606060605,10189.181818181818,257639.24242424243,252394.72727272726,57243.69696969697,39254.545454545456,474834.8181818182,28521.969696969696,381693.7272727273
2013,346531.9696969697,71353.69696969698,616981.2424242424,7909.727272727273,178368.63636363635,110658.45454545454,82690.0303030303,44473.242424242424,438612.69696969696,-21298.666666666668,319350.9696969697
2014,238353.9393939394,61417.030303030304,695290.5454545454,9277.515151515152,191171.69696969696,125755.75757575757,69146.0,43507.09090909091,504118.9696969697,-24877.121212121212,394590.42424242425
2015,251714.5625,60794.5,633662.3125,7141.03125,181070.03125,138602.40625,61643.53125,42244.625,452592.28125,-16494.09677419355,350728.34375
2016,242945.4375,50323.21875,822694.28125,13083.8125,154629.875,118588.90625,55406.21875,38757.53125,668064.53125,-9829.612903225807,569138.125
2017,262650.45454545453,56289.878787878784,604534.4545454546,10365.272727272728,126345.45454545454,95185.90909090909,58857.36363636364,43846.969696969696,478189.0303030303,-3248.483870967742,378757.75757575757
2018,304383.0625,68388.78125,676813.34375,10879.5,158065.5,123666.15625,71904.59375,49151.65625,518747.78125,5409.892857142857,397610.21875
2019,276908.6666666667,61214.42424242424,900731.3333333334,8681.848484848484,194650.9090909091,165926.39393939395,71796.39393939394,55050.93939393939,706080.3636363636,8324.181818181818,582232.5757575758
2020,298414.71875,72754.625,887040.875,14085.625,255326.65625,241208.5,84673.5625,45989.4375,631714.25,33161.34375,491568.15625
2021,348123.4375,75541.03125,1047678.9375,12955.46875,276279.125,287375.84375,79993.875,46583.65625,771399.90625,52521.53125,643744.46875
2022,470663.24242424243,122939.66666666667,952012.5757575758,10036.39393939394,209292.0909090909,186536.48484848486,95047.27272727272,53339.333333333336,742720.5757575758,34315.818181818184,595566.8181818182
