Date,weeklyExports,accumulatedExports,outstandingSales,grossNewSales,Commodity,Country
2013-08-01,1310.0,1310.0,425.0,1485.0,Rice,EU
2013-09-01,1260.0,2570.0,2044.0,2879.0,Rice,EU
2013-10-01,1555.0,4125.0,19391.0,18902.0,Rice,EU
2013-11-01,19590.0,23715.0,290.0,581.0,Rice,EU
2013-12-01,5122.0,28837.0,1286.0,6118.0,Rice,EU
2014-01-01,1403.0,30240.0,1199.0,1316.0,Rice,EU
2014-02-01,1609.0,31849.0,754.0,1164.0,Rice,EU
2014-03-01,1645.0,33494.0,992.0,1883.0,Rice,EU
2014-04-01,1103.0,34597.0,1145.0,1256.0,Rice,EU
2014-05-01,1323.0,35920.0,916.0,1174.0,Rice,EU
2014-06-01,2327.0,38247.0,453.0,1864.0,Rice,EU
2014-07-01,1278.0,39525.0,91.0,916.0,Rice,EU
2014-08-01,765.0,765.0,460.0,734.0,Rice,EU
2014-11-01,1831.0,2596.0,3575.0,4946.0,Rice,EU
2015-06-01,2160.0,4756.0,9241.0,7826.0,Rice,EU
2015-07-01,10442.0,15198.0,125.0,1326.0,Rice,EU
2015-08-01,881.0,881.0,831.0,1586.0,Rice,EU
2015-11-01,1012.0,1893.0,9803.0,9984.0,Rice,EU
2016-06-01,1619.0,3512.0,10294.0,2110.0,Rice,EU
2016-07-01,1263.0,4775.0,10153.0,1122.0,Rice,EU
2016-08-01,3824.0,3824.0,858.0,4482.0,Rice,EU
2017-06-01,1680.0,5504.0,594.0,1416.0,Rice,EU
2017-07-01,2444.0,7948.0,828.0,2728.0,Rice,EU
2017-08-01,1199.0,1199.0,4684.0,6063.0,Rice,EU
2018-06-01,5486.0,6685.0,472.0,1274.0,Rice,EU
2018-07-01,1023.0,7708.0,508.0,1059.0,Rice,EU
2018-08-01,1990.0,1990.0,1180.0,3050.0,Rice,EU
2019-06-01,13158.0,15148.0,8444.0,20422.0,Rice,EU
2019-07-01,7284.0,22432.0,2314.0,1154.0,Rice,EU
2019-08-01,4488.0,26920.0,3376.0,6390.0,Rice,EU
